test,a,b,c,d
1,0.0,0.0,0.12,0.103
2,0.0,0.0,0.0,0.04
3,0.0,0.0,0.16,0.113
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.24
6,0.0,0.0,0.0,0.0
7,0.0,0.1,0.22,0.25
8,0.0,0.0,0.09,0.135
9,0.0,0.0,0.16,0.117
10,0.0,0.0,0.0,0.0
11,0.0,0.2,0.22,0.155
12,0.0,0.0,0.0,0.0
13,0.0,0.175,0.16,0.133
14,0.0,0.0,0.0,0.095
15,0.0,0.0,0.11,0.11
16,0.0,0.0,0.0,0.0
17,0.0,0.175,0.16,0.14
18,0.0,0.3,0.21,0.155
19,0.0,0.0,0.12,0.12
20,0.0,0.0,0.0,0.0
21,0.0,0.225,0.15,0.12
22,0.0,0.0,0.16,0.15
23,0.0,0.0,0.14,0.12
24,0.0,0.0,0.14,0.11
25,0.0,0.0,0.13,0.105
26,0.2,0.45,0.34,0.21
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.15,0.15,0.1,0.075
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.17,0.12
32,0.0,0.0,0.1,0.107
33,0.0,0.0,0.16,0.117
