test,a,b,c,d
1,3.3600000000000003,5.415,10.588,14.052
2,2.529,5.019,6.559,11.097999999999995
3,3.7480000000000007,5.921,10.843,14.867999999999997
4,3.8800000000000003,6.175,11.528,15.844000000000001
5,3.0300000000000002,8.142999999999999,11.503000000000002,14.998000000000001
6,3.458,6.838,11.59,14.824999999999998
7,3.3390000000000004,6.704999999999999,11.23,15.083999999999998
8,8.514999999999999,11.008000000000001,11.802000000000001,14.084000000000001
9,3.926,5.921,10.810999999999998,15.286999999999997
10,6.247999999999999,8.401,12.457,17.012999999999998
11,3.5060000000000002,5.123,10.655,15.025999999999998
12,6.475,9.719999999999997,14.366999999999999,16.368999999999996
13,3.2840000000000003,4.075000000000001,10.376999999999999,14.17
14,4.082,6.053,10.743,14.738999999999999
15,3.6280000000000006,6.061,10.805,14.706999999999999
16,13.188,15.407999999999998,18.618000000000002,19.448999999999998
17,2.6710000000000003,2.947,9.803999999999998,12.811
18,3.96,5.952,10.795,15.769
19,3.7480000000000007,5.327,10.776,14.997999999999996
20,2.7399999999999998,5.3420000000000005,10.363,14.107000000000001
21,3.2939999999999996,5.025,11.565999999999997,15.553999999999997
22,3.8389999999999995,5.852,10.487,15.35
23,2.794,6.061,10.786999999999999,14.915999999999999
24,3.6260000000000003,5.921,10.958999999999998,14.123
25,3.84,6.303,10.766,15.152000000000001
26,2.392,6.701,12.277,15.760000000000003
27,3.474,6.111,10.406999999999998,15.299999999999997
28,4.193,5.46,12.817999999999998,15.873999999999999
29,2.875,5.94,11.001999999999999,15.357000000000003
30,4.403,6.785,13.858999999999998,17.043999999999997
31,3.1630000000000003,5.469,10.194999999999999,14.551999999999998
32,3.684,5.716,10.479999999999999,15.148999999999997
33,3.7480000000000007,5.921,10.926999999999998,14.723999999999998
