test,a,b,c,d
1,0.0,0.371,0.48,0.546
2,0.0,0.0,0.0,0.068
3,0.0,0.371,0.61,0.602
4,0.0,0.0,0.0,0.403
5,0.0,0.0,0.5509999999999999,0.76
6,0.0,0.0,0.0,0.0
7,0.27,0.538,1.0430000000000001,1.131
8,0.0,0.0,0.482,0.605
9,0.0,0.371,0.61,0.606
10,0.0,0.0,0.0,0.0
11,0.337,0.45799999999999996,0.659,0.662
12,0.135,0.083,0.048,0.034
13,0.0,0.489,0.586,0.637
14,0.0,0.0,0.504,0.548
15,0.0,0.371,0.5690000000000001,0.599
16,0.135,0.083,0.048,0.034
17,0.0,0.44699999999999995,0.635,0.678
18,0.0,0.5840000000000001,0.604,0.736
19,0.0,0.0,0.53,0.52
20,0.0,0.0,0.0,0.0
21,0.0,0.46799999999999997,0.506,0.46499999999999997
22,0.0,0.371,0.483,0.622
23,0.0,0.0,0.569,0.644
24,0.0,0.454,0.593,0.6839999999999999
25,0.0,0.0,0.633,0.492
26,0.723,0.8550000000000001,1.093,0.951
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.238,0.313,0.322,0.339
30,0.0,0.0,0.0,0.37
31,0.0,0.371,0.618,0.61
32,0.0,0.0,0.49,0.73
33,0.0,0.371,0.61,0.606
