test,a,b,c,d
1,0.039,0.061,0.089,0.094
2,0.032,0.032,0.032,0.127
3,0.061,0.104,0.304,0.401
4,0.009,0.009,0.035,0.043
5,0.017,0.017,0.078,0.121
6,0.0,0.0,0.017,0.078
7,0.026,0.035,0.252,0.477
8,0.035,0.069,0.243,0.328
9,0.069,0.104,0.304,0.412
10,0.0,0.009,0.009,0.035
11,0.043,0.061,0.174,0.217
12,0.0,0.026,0.087,0.338
13,0.052,0.095,0.139,0.139
14,0.017,0.017,0.104,0.182
15,0.069,0.104,0.278,0.308
16,0.009,0.035,0.078,0.182
17,0.052,0.095,0.148,0.156
18,0.043,0.069,0.121,0.2
19,0.043,0.087,0.174,0.275
20,0.0,0.0,0.0,0.104
21,0.0,0.026,0.069,0.091
22,0.052,0.078,0.165,0.191
23,0.026,0.095,0.182,0.24
24,0.017,0.026,0.087,0.13
25,0.061,0.104,0.295,0.451
26,0.017,0.13,0.243,0.338
27,0.061,0.121,0.161,0.269
28,0.026,0.069,0.148,0.174
29,0.078,0.139,0.243,0.364
30,0.026,0.052,0.104,0.104
31,0.061,0.113,0.269,0.399
32,0.035,0.061,0.234,0.386
33,0.061,0.121,0.278,0.39
