test,a,b,c,d
1,1.145,1.0779999999999998,0.8580000000000001,0.657
2,0.055,0.299,0.32699999999999996,0.338
3,1.208,1.187,1.464,1.408
4,0.016,0.07400000000000001,0.39399999999999996,0.774
5,0.9090000000000001,1.04,1.034,1.1669999999999998
6,0.0,0.0,0.8190000000000001,1.0030000000000001
7,1.144,0.95,1.276,1.6400000000000001
8,1.16,1.068,1.234,1.142
9,1.224,1.187,1.464,1.446
10,0.0,0.015,0.402,0.583
11,1.176,1.054,1.0799999999999998,1.215
12,0.10900000000000001,0.22199999999999998,1.046,1.271
13,1.0819999999999999,1.1130000000000002,0.917,0.9319999999999999
14,1.128,1.04,1.098,1.159
15,1.224,1.187,1.427,1.382
16,0.23600000000000002,0.356,0.514,0.9140000000000001
17,0.9730000000000001,1.1130000000000002,0.957,1.004
18,1.176,1.068,1.064,1.033
19,1.176,1.1580000000000001,1.101,1.1749999999999998
20,0.0,0.207,0.318,0.529
21,1.0959999999999999,0.9349999999999999,0.704,0.8380000000000001
22,1.192,1.0830000000000002,1.068,1.0050000000000001
23,1.144,1.173,1.135,1.094
24,1.128,1.1130000000000002,0.872,0.849
25,1.208,1.187,1.4220000000000002,1.529
26,1.128,1.113,1.264,1.1079999999999999
27,0.77,0.98,1.0979999999999999,1.1789999999999998
28,0.268,0.9499999999999998,1.275,1.06
29,1.24,1.187,1.292,1.227
30,0.706,0.98,0.925,0.985
31,1.208,1.2610000000000001,1.2269999999999999,1.395
32,0.831,0.995,1.28,1.3770000000000002
33,1.208,1.217,1.2249999999999999,1.3860000000000001
