test,a,b,c,d
1,0.0,0.0,0.082,0.141
2,0.0,0.0,0.0,0.222
3,0.0,0.0,0.11,0.157
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.331
6,0.0,0.0,0.0,0.0
7,0.0,0.028,0.152,0.345
8,0.0,0.0,0.062,0.186
9,0.0,0.0,0.11,0.161
10,0.0,0.0,0.0,0.0
11,0.0,0.055,0.152,0.214
12,0.0,0.0,0.0,0.0
13,0.0,0.048,0.11,0.184
14,0.0,0.0,0.0,0.131
15,0.0,0.0,0.076,0.152
16,0.0,0.0,0.0,0.0
17,0.0,0.048,0.11,0.193
18,0.0,0.083,0.145,0.214
19,0.0,0.0,0.083,0.166
20,0.0,0.0,0.0,0.0
21,0.0,0.062,0.104,0.166
22,0.0,0.0,0.11,0.207
23,0.0,0.0,0.097,0.166
24,0.0,0.0,0.097,0.152
25,0.0,0.0,0.09,0.145
26,0.028,0.124,0.235,0.29
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.021,0.041,0.069,0.104
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.117,0.166
32,0.0,0.0,0.069,0.147
33,0.0,0.0,0.11,0.161
