test,a,b,c,d
1,0.039,0.078,0.784,0.902
2,0.005,0.008,0.062,0.119
3,0.007,0.014,0.282,0.612
4,0.007,0.083,0.213,0.392
5,0.0,0.096,0.144,0.151
6,0.0,0.0,0.138,0.158
7,0.007,0.096,0.282,0.612
8,0.069,0.138,0.172,0.481
9,0.007,0.014,0.275,0.612
10,0.014,0.076,0.172,0.605
11,0.007,0.014,0.275,0.598
12,0.021,0.048,0.199,0.584
13,0.007,0.014,0.282,0.433
14,0.007,0.014,0.282,0.591
15,0.007,0.014,0.282,0.605
16,0.069,0.138,0.323,0.399
17,0.007,0.014,0.227,0.248
18,0.007,0.014,0.296,0.591
19,0.007,0.014,0.275,0.619
20,0.014,0.014,0.254,0.523
21,0.007,0.096,0.275,0.55
22,0.007,0.014,0.282,0.598
23,0.007,0.014,0.282,0.619
24,0.007,0.014,0.282,0.612
25,0.007,0.096,0.282,0.619
26,0.0,0.096,0.289,0.502
27,0.014,0.096,0.289,0.605
28,0.007,0.014,0.282,0.605
29,0.034,0.096,0.289,0.598
30,0.007,0.014,0.296,0.619
31,0.007,0.007,0.282,0.598
32,0.007,0.014,0.275,0.612
33,0.007,0.014,0.289,0.619
